Module,"α Isc 
(%/°C)","α Imp
(%/°C)",β Voc (%/°C),β Vmp (%/°C),δ Pm (%/°C),Technology
aSiMicro03036,,,,,,"Amorphous silicon/
microcrystalline silicon"
aSiMicro03038,,,,,,"Amorphous silicon/
microcrystalline silicon"
aSiTandem72-46,0.07,0.11,-0.35,-0.34,-0.25,"Amorphous silicon
tandem junction"
aSiTandem90-31,0.08,0.14,-0.35,-0.34,-0.22,"Amorphous silicon
tandem junction"
aSiTriple28324,0.1,0.14,-0.43,-0.4,-0.29,"Amorphous silicon
triple junction"
aSiTriple28325,0.1,0.12,-0.41,-0.39,-0.29,"Amorphous silicon
triple junction"
CdTe75638,0.04,0.03,-0.24,-0.24,-0.21,Cadmium telluride
CdTe75669,0.04,0.04,-0.23,-0.25,-0.21,Cadmium telluride
CIGS1-001,0.01,-0.03,-0.32,-0.37,-0.39,"Copper indium gallium
selenide"
CIGS8-001,0.01,-0.04,-0.3,-0.34,-0.38,"Copper indium gallium
selenide"
CIGS39013,-0.03,-0.11,-0.32,-0.42,-0.51,"Copper indium gallium
selenide"
CIGS39017,-0.03,-0.1,-0.32,-0.46,-0.54,"Copper indium gallium
selenide"
HIT05662,0.03,-0.01,-0.26,-0.33,-0.33,"Amorphous silicon/
crystalline silicon (HIT)"
HIT05667,0.03,-0.01,-0.27,-0.34,-0.35,"Amorphous silicon/
crystalline silicon (HIT)"
mSi0166,0.05,0,-0.33,-0.41,-0.41,Multi-crystalline silicon
mSi0188,0.04,0,-0.33,-0.41,-0.41,Multi-crystalline silicon
mSi0247,0.05,0,-0.33,-0.41,-0.41,Multi-crystalline silicon
mSi0251,0.05,0,-0.33,-0.42,-0.42,Multi-crystalline silicon
mSi460A8,0.07,0,-0.33,-0.42,-0.42,Multi-crystalline silicon
mSi460BB,0.05,0,-0.33,-0.43,-0.42,Multi-crystalline silicon
xSi11246,0.06,0.12,-0.34,-0.41,-0.31,Single-crystalline silicon 
xSi12922,0.05,0.01,-0.34,-0.43,-0.42,Single-crystalline silicon 
