PVModule,Temper-ature Corrected to (°C),Irradiance Corrected to (W/m2),Isc Corrected (A),Voc Corrected (V),Imp Corrected (A),Vmp Corrected (V),Pm Corrected (W),FF Corrected (%),Module Temper-ature (°C) ,Irradiance Measured (W/m2),Isc Raw (A),Voc Raw (V),Imp Raw (A),Vmp Raw (V),Pm Raw (W)
xSi12922,15,100,0.511,20.48,0.471,16.85,7.92,75.7,14.5,97.5,0.497,20.51,0.458,16.89,7.73
xSi12922,25,100,0.515,19.65,0.465,16.34,7.59,75.1,25.2,101.2,0.521,19.63,0.471,16.33,7.69
xSi12922,15,200,1.016,21.30,0.926,17.94,16.61,76.7,15.4,200.6,1.020,21.27,0.930,17.91,16.65
xSi12922,25,200,1.029,20.38,0.939,17.04,16.01,76.3,25.2,199.0,1.024,20.37,0.934,17.03,15.91
xSi12922,25,400,2.054,21.11,1.889,17.47,33.01,76.2,25.2,398.9,2.049,21.10,1.884,17.46,32.89
xSi12922,50,400,2.064,19.15,1.883,15.47,29.14,73.7,50.0,398.9,2.059,19.15,1.877,15.48,29.05
xSi12922,25,600,3.076,21.52,2.833,17.60,49.84,75.3,25.1,597.9,3.065,21.51,2.822,17.59,49.62
xSi12922,50,600,3.097,19.62,2.823,15.64,44.15,72.6,50.0,599.8,3.096,19.62,2.822,15.64,44.13
xSi12922,65,600,3.107,18.46,2.813,14.51,40.82,71.2,64.0,599.1,3.100,18.54,2.808,14.59,40.95
xSi12922,25,800,4.096,21.82,3.753,17.63,66.18,74.1,25.1,799.8,4.095,21.81,3.752,17.62,66.12
xSi12922,50,800,4.125,19.94,3.743,15.70,58.78,71.5,49.9,801.0,4.130,19.94,3.748,15.71,58.88
xSi12922,65,800,4.158,18.80,3.743,14.56,54.49,69.7,64.0,800.5,4.158,18.87,3.745,14.63,54.79
xSi12922,25,1000,5.116,22.05,4.660,17.63,82.14,72.8,25.1,1001.6,5.125,22.04,4.669,17.62,82.26
xSi12922,50,1000,5.175,20.15,4.651,15.67,72.85,69.9,50.5,1001.1,5.182,20.11,4.656,15.63,72.78
xSi12922,65,1000,5.200,19.05,4.659,14.56,67.82,68.4,64.0,999.9,5.197,19.13,4.658,14.63,68.15
xSi12922,25,1100,5.632,22.14,5.088,17.59,89.50,71.8,25.1,1101.4,5.639,22.13,5.096,17.58,89.60
xSi12922,50,1100,5.686,20.28,5.117,15.66,80.13,69.5,49.7,1099.6,5.683,20.31,5.114,15.68,80.21
xSi12922,65,1100,5.723,19.16,5.123,14.50,74.31,67.8,63.9,1097.9,5.709,19.25,5.112,14.59,74.58
xSi11246,15,100,0.504,20.45,0.450,17.06,7.67,79.0,16.8,98.5,0.501,20.31,0.452,16.93,7.65
xSi11246,15,200,1.009,21.22,0.926,17.65,16.35,75.7,14.6,198.6,1.001,21.25,0.917,17.68,16.22
