,index,Module,Model,n,b,IL,I0,Gp,Rs,Adjust,deltaRs,lambda,mIL,mI0,mGp,mRs,alphaIsc,betaVoc,gammaPmp,RMSE
18,0,aSiTandem72-46,5,2.2673676081750966,0.40867001907746797,1.17478408079358,2.6709e-11,0.00485686933114,10.2641680227099,0.0,0.0,0.0007833,1.0,0.0,1.0,0.0,0.000746104933391,-0.207480078771027,-0.13921537036650597,0.276386571915788
19,0,aSiTandem72-46,6,1.978450056392605,0.4683490294306789,1.180822098927297,7.739999999999999e-13,0.005019271709894,11.007100995551665,-24.93,0.0,0.000978546230099,1.0,0.0,1.0,0.0,0.0009273142764780002,-0.155763246141305,-0.094296697360202,0.178824132068886
20,0,aSiTandem72-46,7,2.261722896256301,0.4096899603493889,1.1748969329722758,2.5140000000000003e-11,0.0048599913845880005,10.27832560847641,0.0,-0.007288731925550001,0.000415010446325,1.085306628974178,0.28354588871676195,0.9788965901982671,-0.6478217601382921,0.000783300002638,-0.20748007891313602,-0.094296697432664,2.19598933e-07
0,0,aSiTandem72-46,11,,0.405467736206381,1.114336816114508,3.717498215932328e-11,0.004653055828363206,5.750424794270962,,-0.01577473347153838,,,-0.014358790831636936,1.0348940540126659,-0.857649151942643,,,,
21,1,aSiTandem90-31,5,2.305088807759495,0.40198241411322994,1.2565264335637991,2.9123e-11,0.005038572665886,9.869795680111562,0.0,0.0,0.0009576,1.0,0.0,1.0,0.0,0.000912234354722,-0.21080507991655398,-0.149097940814018,0.37773257467783794
22,1,aSiTandem90-31,6,1.9597324916029069,0.472822269191781,1.264130914678606,4.07e-13,0.005242914177286,10.696844054063066,-29.35,0.0,0.0012386561207410002,1.0,0.0,1.0,0.0,0.001172878003608,-0.148933422607911,-0.09022379505700301,0.21344993512686103
23,1,aSiTandem90-31,7,2.298364645416517,0.4031584655361021,1.2566669120804992,2.7129000000000002e-11,0.005042476739757999,9.885428186574753,0.0,-0.008571143457243,0.000493920254727,1.0802778714406809,0.26640464513057,1.060361708014772,-0.7870389968014759,0.0009575999992960001,-0.210805080271825,-0.09022379513154499,2.19848383e-07
1,1,aSiTandem90-31,11,,0.39942262092100145,1.0867897560844275,3.0580946063847625e-11,0.004819120402241688,8.024016143275595,,-0.014812682937717246,,,-0.0717394060167742,1.0696185323650804,-0.7871754315465821,,,,
24,2,aSiTriple28324,5,0.9797503126017291,0.945756435869816,4.786957904882172,1.508509e-09,0.036442791748458,1.003951286309585,0.0,0.0,0.004618,1.0,0.0,1.0,0.0,0.0044549875077849995,-0.09859903780551299,-0.30749949571172097,0.415880964113961
25,2,aSiTriple28324,6,0.803130071945422,1.153742333970927,4.818933777082928,1.2675e-11,0.039578121089320996,1.099369887088701,-32.23,0.0,0.0061062983246299996,1.0,0.0,1.0,0.0,0.005851685003221999,-0.06682232950083701,-0.178834763899705,0.24168377696110302
