Module,a,IL,I0,Rs,Rp,mIL,mRs,mGp,lambda,deltaI0,deltaRs
xSi12922,1.036,5.14,2.86E-09,0.318,105.266,0.998,−0.137,0.964,2.37E-03,0.848,2.33E-04
xSi11246,1.067,5.103,4.88E-09,0.412,56.78,0.999,−0.229,1.358,2.59E-03,0.823,-9.66E-03
mSi460A8,1.165,5.066,4.28E-08,0.256,494.279,1.002,−0.432,−0.025,3.37E-03,0.724,2.08E-03
mSi460BB,1.116,5.111,1.72E-08,0.301,227.982,1.004,−0.220,0.623,2.81E-03,0.758,8.93E-04
mSi0166,1.087,2.746,4.02E-09,0.277,334.946,1.001,−0.896,0.354,1.39E-03,0.796,3.23E-03
mSi0188,1.083,2.757,3.95E-09,0.329,272.721,1.001,−0.760,0.455,1.18E-03,0.799,1.78E-03
mSi0247,1.088,2.743,4.11E-09,0.317,335.409,1.002,−0.729,0.293,1.25E-03,0.79,2.37E-03
mSi0251,1.098,2.739,4.89E-09,0.344,369.819,1.001,−0.695,0.18,1.36E-03,0.784,2.02E-03
CdTe75638,3.203,1.236,1.34E-12,14.752,474.349,1.05,−0.707,0.869,2.92E-04,0.938,-4.56E-03
CdTe75669,3.517,1.227,2.30E-11,14.434,486.57,1.053,−0.625,0.885,3.23E-04,0.821,-4.36E-03
CIGS39017,3.35,6.49,2.32E-05,1.136,35.707,0.971,−0.883,0.472,-1.44E-03,0.449,2.07E-03
CIGS39013,3.544,6.179,4.92E-05,1.11,31.722,0.972,−0.710,0.366,-1.72E-03,0.415,5.57E-04
CIGS8-001,2.669,2.552,3.05E-07,1.326,160.227,0.983,−0.995,0.301,1.26E-04,0.577,-5.00E-03
CIGS1-001,2.322,2.515,3.01E-08,1.324,271.934,0.996,−0.564,0.486,1.98E-04,0.691,-4.97E-03
HIT05667,2.082,5.542,1.81E-10,0.492,504.544,0.989,0.093,0.55,1.95E-03,0.858,1.92E-03
HIT05662,2.075,5.612,1.11E-10,0.487,310.354,0.993,−0.487,1.224,1.95E-03,0.857,2.46E-03
aSiTandem72-46,3.125,1.094,4.33E-09,8.127,300.224,1.077,−0.670,0.962,5.22E-04,0.771,-1.03E-02
aSiTandem90-31,3.127,1.166,3.55E-09,7.878,268.311,1.075,−0.700,1.024,5.30E-04,0.782,-1.18E-02
aSiTriple28324,1.412,4.737,3.28E-07,0.878,27.118,1.097,−0.391,1.156,2.62E-03,0.734,-1.27E-02
aSiTriple28325,1.374,4.566,1.72E-07,0.863,27.697,1.085,−0.507,1.147,2.91E-03,0.742,-1.10E-02
